Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-04-22 20:50:06,2024-04-23 21:46:07,UTC-04:00,2024-04-22 20:50:06,2024-04-23 05:45:37,100,12.9,483,529,240,108,135,46,457,0,94,88,false
2024-04-21 20:38:02,2024-04-22 20:50:06,UTC-04:00,2024-04-21 20:38:02,2024-04-22 06:07:22,100,13.5,537,566,238,138,161,29,458,0,94,83,false
2024-04-20 20:07:17,2024-04-21 20:38:02,UTC-04:00,2024-04-20 20:07:17,2024-04-21 06:44:46,100,14.3,545,633,392,65,88,88,461,3,86,75,false
2024-04-19 20:50:34,2024-04-20 20:07:17,UTC-04:00,2024-04-19 20:50:34,2024-04-20 06:21:48,99,13.4,512,568,215,135,162,56,518,57,91,81,false
2024-04-18 22:48:53,2024-04-19 20:50:34,UTC-04:00,2024-04-18 22:48:53,2024-04-19 05:44:12,76,15.5,354,414,144,114,96,60,469,11,85,77,false
2024-04-17 21:05:05,2024-04-18 22:48:53,UTC-04:00,2024-04-17 21:05:05,2024-04-18 05:50:04,96,13.9,468,522,296,89,83,54,486,28,90,89,false
2024-04-16 21:19:07,2024-04-17 21:05:05,UTC-04:00,2024-04-16 21:19:07,2024-04-17 05:48:34,91,15.5,447,506,237,84,126,59,492,0,91,83,false
2024-04-15 20:17:33,2024-04-16 21:19:07,UTC-04:00,2024-04-15 20:17:33,2024-04-16 05:32:52,100,15.2,503,552,261,106,136,49,498,38,91,74,false
2024-04-14 21:37:54,2024-04-15 20:17:33,UTC-04:00,2024-04-14 21:37:54,2024-04-15 05:46:04,87,15.4,401,482,230,116,55,81,462,0,83,83,false
2024-04-13 21:50:57,2024-04-14 21:37:54,UTC-04:00,2024-04-13 21:50:57,2024-04-14 06:52:04,100,16.3,491,538,340,62,89,47,473,11,92,80,false
2024-04-12 20:32:55,2024-04-13 21:50:57,UTC-04:00,2024-04-12 20:32:55,2024-04-13 06:23:47,96,16.1,500,588,276,104,120,88,518,60,87,65,false
2024-04-11 22:51:07,2024-04-12 20:32:55,UTC-04:00,2024-04-11 22:51:07,2024-04-12 07:28:53,77,14.1,394,515,158,119,117,121,514,57,76,66,false
2024-04-10 21:37:47,2024-04-11 22:51:07,UTC-04:00,2024-04-10 21:37:47,2024-04-11 05:44:41,83,14.7,422,486,389,26,7,64,511,53,88,87,false
2024-04-09 21:56:59,2024-04-10 21:37:47,UTC-04:00,2024-04-09 21:56:59,2024-04-10 05:38:58,78,15.5,377,449,154,92,131,72,485,27,83,78,false
2024-04-08 21:30:56,2024-04-09 21:56:59,UTC-04:00,2024-04-08 21:30:56,2024-04-09 05:47:14,91,15.0,414,493,230,67,117,79,457,0,86,74,false
2024-04-07 19:28:56,2024-04-08 21:30:56,UTC-04:00,2024-04-07 19:28:56,2024-04-08 06:17:02,100,13.1,590,636,348,125,117,46,519,61,93,65,false
2024-04-06 20:24:22,2024-04-07 19:28:56,UTC-04:00,2024-04-06 20:24:22,2024-04-07 06:01:38,84,13.8,485,577,186,118,181,92,581,122,84,63,false
2024-04-06 00:21:33,2024-04-06 20:24:22,UTC-04:00,2024-04-06 00:21:33,2024-04-06 06:18:27,57,13.6,321,353,145,91,85,32,566,104,91,76,false
2024-04-05 00:03:52,2024-04-06 00:21:33,UTC-04:00,2024-04-05 00:03:52,2024-04-05 05:47:23,58,14.8,295,337,154,66,75,42,505,42,88,71,false
2024-04-03 21:26:38,2024-04-05 00:03:52,UTC-04:00,2024-04-03 21:26:38,2024-04-04 05:55:22,84,15.1,428,508,282,94,52,80,512,29,84,91,false
2024-04-02 21:58:05,2024-04-03 21:26:38,UTC-04:00,2024-04-02 21:58:05,2024-04-03 06:05:40,88,13.8,433,486,196,85,152,53,492,5,89,89,false
2024-04-01 22:08:05,2024-04-02 21:58:05,UTC-04:00,2024-04-01 22:08:05,2024-04-02 06:05:22,98,13.6,453,476,231,76,146,23,462,0,95,83,false
2024-03-31 20:50:08,2024-04-01 22:08:05,UTC-04:00,2024-03-31 20:50:08,2024-04-01 06:02:16,100,15.9,515,547,351,74,90,32,493,34,94,86,false
2024-03-30 20:37:31,2024-03-31 20:50:08,UTC-04:00,2024-03-30 20:37:31,2024-03-31 06:14:47,90,15.4,461,577,273,79,109,116,515,53,80,78,false
