Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-03-31 20:50:08,2024-04-01 22:08:05,UTC-04:00,2024-04-01 11:42:06,2024-04-01 12:13:07,31,Functional Fitness,5.4,116.0,156,123,3,72,22,3,0,false,,,
2024-03-24 20:35:57,2024-03-25 21:57:31,UTC-04:00,2024-03-25 11:51:56,2024-03-25 12:24:30,32,Disc Golf,5.1,100.0,143,120,1,90,9,0,0,true,1596.62,284.14,3.90
2024-03-23 20:10:45,2024-03-24 20:35:57,UTC-04:00,2024-03-24 16:17:38,2024-03-24 16:38:06,20,Functional Fitness,6.3,140.0,165,135,0,32,39,29,0,false,,,
2024-03-22 21:34:20,2024-03-23 20:10:45,UTC-04:00,2024-03-23 12:32:37,2024-03-23 13:04:24,31,Running,13.3,421.0,179,160,2,0,5,42,51,true,5191.43,95.88,-0.10
2024-03-21 20:37:01,2024-03-22 21:34:20,UTC-04:00,2024-03-22 10:41:26,2024-03-22 10:49:13,7,Functional Fitness,4.6,48.0,157,129,2,10,67,13,0,false,,,
2024-03-20 19:53:32,2024-03-21 20:37:01,UTC-04:00,2024-03-21 12:16:39,2024-03-21 12:41:42,25,Running,11.8,321.0,185,158,0,0,5,71,23,true,4394.64,71.76,-0.10
2024-03-19 21:19:31,2024-03-20 19:53:32,UTC-04:00,2024-03-20 11:55:26,2024-03-20 12:33:32,38,Disc Golf,5.1,102.0,141,118,11,76,13,0,0,true,1698.35,291.34,0.14
2024-03-18 20:59:36,2024-03-19 21:19:31,UTC-04:00,2024-03-19 12:18:18,2024-03-19 12:32:44,14,Walking,2.6,17.0,133,108,42,57,1,0,0,true,1340.54,68.34,-0.40
2024-03-15 22:23:13,2024-03-16 22:33:56,UTC-04:00,2024-03-16 16:02:22,2024-03-16 16:35:45,33,Yard Work,6.1,173.0,148,128,0,59,41,0,0,false,,,
2024-03-14 22:00:15,2024-03-15 22:23:13,UTC-04:00,2024-03-15 10:42:54,2024-03-15 10:50:46,7,Functional Fitness,4.8,56.0,160,136,3,6,72,19,0,false,,,
